web-scraper-start-url,project-name,project-description,project-team,devpost-link,github-links,other-project-links
https://trons3.devpost.com/project-gallery,Calamus Finance - Crypto Streaming on Multi-Chains,"Automate real-time salary, airdrop, startup vesting or any transactions with enhanced security and transparency","Katherine Tran,Annie G,Linh Ly Tuan,Jacob Duong",https://devpost.com/software/calamus-finance,,https://test-app-2.calamus.finance/
https://trons3.devpost.com/project-gallery,Digemart- A decentralized E-commerce Marketplace,A decentralized marketplace for both buyers and sellers to buy and sale every products of their needs with cryptocurrencies.,Dominic Akpan,https://devpost.com/software/digemart-a-decentralized-e-commerce-marketplace,https://github.com/Digital-Labrs/Digemart,
https://trons3.devpost.com/project-gallery,Nature ForeTold,"Nature ForeTold is a platform where young people, designers and professionals can come together and produce NFT for endangered species, where they can both donate and generate income.","Elis Sena Vatansever,Gökhan Ceylan",https://devpost.com/software/nature-foretold,,https://natureforetold.com/
https://trons3.devpost.com/project-gallery,Enlighten,"A decentralized open library on where anyone can upload, read and download book for free","Saheed Lukman,Aroyewon Temitope,Chukwuka Okorie",https://devpost.com/software/enlighten-sgq19f,,https://enlighten-eight.vercel.app/
https://trons3.devpost.com/project-gallery,Gonana,"Gonana is a unique and easy-to-use marketplace for farmers with customers, its innovative technology stack enables for their seamless interaction at all business levels.",Gonana Gonana,https://devpost.com/software/gonana-vtx9yr,,
https://trons3.devpost.com/project-gallery,NFTBeats for TRON,NFTBeats is TRON-specific and very flexible GraphQL NFT API with beautiful stats.,taijusanagi Sanagi,https://devpost.com/software/nftbeats-for-tron,https://github.com/taijusanagi/NFTBeats,"https://nftbeats.vercel.app/, https://docs.google.com/presentation/d/1BLt_GJLekwkryjkXHo1IYP6xhISbyIvDvtRaLiuKflc/edit?usp=sharing"
https://trons3.devpost.com/project-gallery,HotSkills (formerly MeDo),The best decentralized freelance platform.,Vadym Kutsenko,https://devpost.com/software/medo-2-0,https://github.com/vadkutsen/medo-tron,https://hotskills.netlify.app/
https://trons3.devpost.com/project-gallery,Zombieland - Survival Game,"Zombieland - Survival Game is classic web3 game with DeFi, NFT and many more in game upgrades and different weapons to survive between zombies.","Hary L,Mandy L",https://devpost.com/software/zombieland-survival-game,,https://bafybeigcvppb6ium4xzsuwrklkf35eho247djanpgyyy2yc66gbuunv3kq.ipfs.gateway.valist.io/
https://trons3.devpost.com/project-gallery,Weld Money,"We create an opportunity for fast-growing digital assets to become part of the payment world today. Be an affordable, easy and legal way to pay.",Anatolij Shegrin,https://devpost.com/software/weld-money-t4r927,,"https://play.google.com/store/apps/details?id=com.weld.app, https://weld.money/"
https://trons3.devpost.com/project-gallery,MetaVotePoll,"As MetaVotePoll, we have created a blockchain-based forum-voting platform for sports fans, anime lovers, bookworms, those who want to discuss politics, defend idols, comment, and other activites.",Gökhan Ceylan,https://devpost.com/software/metavotepoll,,https://metavotepoll.com/
https://trons3.devpost.com/project-gallery,PAT3NT,A NFT platform to Showcase Super Cool and Unique Ideas (Patents),"Manikanta Nynala,Maadhav Sharma,Kunal Jain",https://devpost.com/software/pat3nt,https://github.com/Code-Decoders/patent-nft-app,"https://pat3nt.netlify.app/, https://docs.google.com/presentation/d/1flVI6XPy1iWhoM8xcFfc0O5W0CiP5OyBXYb1wNnabkM/edit?usp=sharing"
https://trons3.devpost.com/project-gallery,uniearn.info,"Relying on data recommendation and analysis. Uniearn.info is a platform focusing on on-chain Auto copy trading (supporting NFT, Token, DeFi, DEX, etc.). Let everyone make money like a top investor",Byron lee,https://devpost.com/software/uniearn-info,,https://uniearn.info/
https://trons3.devpost.com/project-gallery,PLASMAVERSE,Multi-Phase ARPG Game on Metaverse,geo xyz,https://devpost.com/software/plasmaverse,,
https://trons3.devpost.com/project-gallery,Amaz-O-Tron 9000 - NFT Profile Pic Generator,Simply upload 📸20 photos of yourself and we'll use AI to generate over 🎨100 amazing photos of you! You can then mint your favourite picture as an NFT.,"Konrad Urban,Hugo Montenegro,Tom D",https://devpost.com/software/amaz-o-tron-9000-nft-profile-pic-generator,https://github.com/a-toms/tron_hackathon,"https://amaz-o-tron.com/, https://youtu.be/zaOw2-AbimY"
https://trons3.devpost.com/project-gallery,uniuni,Get everyone a job in Metaverse,"BD UniUni,Valley Wang",https://devpost.com/software/uniuni,,https://uniuni.io
https://trons3.devpost.com/project-gallery,Brú Finance,"Globally the largest issuer of tokenized real-world assets (RWA), Brú Finance is creating a new paradigm of DeFi 2.5, bringing emerging market asset-backed bonds to DeFi.","Abhishek Bhattacharya,Adhi94,Shivam Kumar Varshney",https://devpost.com/software/bru-finance-1oxfbh,,https://bru.finance/
https://trons3.devpost.com/project-gallery,"D3 IDE (Drag, Drop, Deploy)",Provide an simple developer experience for building custom smart contracts on with or without development or technical experience,Issa Kalonji,https://devpost.com/software/drag-drop-deploy-contract-buidlr,https://github.com/IKalonji/Contract.Buidl,https://contract-buidl.vercel.app/
https://trons3.devpost.com/project-gallery,SelfGuard,SelfGuard is a Universal API For Encryption.,Arjun Jain,https://devpost.com/software/selfguard,,https://selfguard.xyz
https://trons3.devpost.com/project-gallery,Crypto Moon Catz,"Most collections have 1 super rare NFT that everybody wants. We have made 25 editions with logos of the top cryptocurrencies, 25 full sets is more like trading cards, this will all us to make a game.",bryan buchanan,https://devpost.com/software/crypto-moon-catz,,
https://trons3.devpost.com/project-gallery,KeyStream,"KeyStream is a platform for people to share subscriptions, API keys, etc., starting with Netflix. We allow users to earn passive income by lending subscriptions in a decentralized fashion.","Rakesh Nori,Walden Yan",https://devpost.com/software/keystream,https://github.com/walnutwaldo/KeyStream,
https://trons3.devpost.com/project-gallery,NFT Smash,"NFT Smash is a market-centric and a machine learning-enabled NFT rarity meter: the greater the rarity of an NFT within a collection, the greater the value in TRX.","Osoi Otoko,Yash Madhwal,Yury Yanovich,sasha stepin",https://devpost.com/software/nft-mesh,https://github.com/yashmadhwal/NFTmash,"https://tronnftmash.web.app/, https://tronnftmash.web.app/smashIt, https://tronnftmash.web.app/NFT_Demo/BAYC/00001, https://forum.trondao.org/t/nft-smash-a-rarity-tool-for-tron-nfts/13683"
https://trons3.devpost.com/project-gallery,Re modification of Baoziswap and New Releases,Using Baoziswap to provide new and Modern Financial Solutions on Tron Blockchain and Web3 at large,SafeMoney Dev team,https://devpost.com/software/re-modification-of-baoziswap-and-new-releases,,"https://baoziswap-941ee.web.app/, https://baoziswap.com"
https://trons3.devpost.com/project-gallery,Ameta Games,Ameta is a blockchain-based & free-to-play farming game. Ameta will become a gateway to the farming metaverse with various elements to unlock the ultimate farming experiment.,AMETA GAMES,https://devpost.com/software/ameta-games,,"https://drive.google.com/file/d/1rHqiboDtXqLcZBxxK828NSRATbaKD6Fd/view, https://linktr.ee/ameta.games"
https://trons3.devpost.com/project-gallery,trxmini.games - a staked/wagering GameFi platform,trxmini.games is a staked/wagering platform for players to wager/stake against each other on supported games. Play now!,Nick Mura,https://devpost.com/software/trxmini-games-a-staked-wagering-gamefi-platform,,
https://trons3.devpost.com/project-gallery,Journey,TRON-native quests platform built to onboard the next billion users into crypto through the TRON blockchain.,"0xdead lee,minci _,Sofia Perez",https://devpost.com/software/journey-e3jm5y,https://github.com/iamminci/journey,https://tryjourney.dev
