web-scraper-start-url,project-name,project-description,project-team,devpost-link,project-related-link
"https://trons3.devpost.com/project-gallery","Calamus Finance - Crypto Streaming on Multi-Chains","Automate real-time salary, airdrop, startup vesting or any transactions with enhanced security and transparency","Katherine Tran,Annie G,Linh Ly Tuan,Jacob Duong","https://devpost.com/software/calamus-finance","test-app-2.calamus.finance,https://test-app-2.calamus.finance/"
"https://trons3.devpost.com/project-gallery","Digemart- A decentralized E-commerce Marketplace","A decentralized marketplace for both buyers and sellers to buy and sale every products of their needs with cryptocurrencies.","Dominic Akpan","https://devpost.com/software/digemart-a-decentralized-e-commerce-marketplace","GitHub Repo,https://github.com/Digital-Labrs/Digemart,app.digemart.com,http://app.digemart.com,digemart.com,http://digemart.com"
"https://trons3.devpost.com/project-gallery","Nature ForeTold","Nature ForeTold is a platform where young people, designers and professionals can come together and produce NFT for endangered species, where they can both donate and generate income.","Elis Sena Vatansever,Gökhan Ceylan","https://devpost.com/software/nature-foretold","natureforetold.com,https://natureforetold.com/"
"https://trons3.devpost.com/project-gallery","Enlighten","A decentralized open library on where anyone can upload, read and download book for free","Saheed Lukman,Aroyewon Temitope,Chukwuka Okorie","https://devpost.com/software/enlighten-sgq19f","enlighten-eight.vercel.app,https://enlighten-eight.vercel.app/"
"https://trons3.devpost.com/project-gallery","Gonana","Gonana is a unique and easy-to-use marketplace for farmers with customers, its innovative technology stack enables for their seamless interaction at all business levels.","Gonana Gonana","https://devpost.com/software/gonana-vtx9yr",""
"https://trons3.devpost.com/project-gallery","NFTBeats for TRON","NFTBeats is TRON-specific and very flexible GraphQL NFT API with beautiful stats.","taijusanagi Sanagi","https://devpost.com/software/nftbeats-for-tron","nftbeats.vercel.app,https://nftbeats.vercel.app/,GitHub Repo,https://github.com/taijusanagi/NFTBeats,docs.google.com,https://docs.google.com/presentation/d/1BLt_GJLekwkryjkXHo1IYP6xhISbyIvDvtRaLiuKflc/edit?usp=sharing"
"https://trons3.devpost.com/project-gallery","HotSkills (formerly MeDo)","The best decentralized freelance platform.","Vadym Kutsenko","https://devpost.com/software/medo-2-0","hotskills.netlify.app,https://hotskills.netlify.app/,GitHub Repo,https://github.com/vadkutsen/medo-tron"
"https://trons3.devpost.com/project-gallery","Zombieland - Survival Game","Zombieland - Survival Game is classic web3 game with DeFi, NFT and many more in game upgrades and different weapons to survive between zombies.","Hary L,Mandy L","https://devpost.com/software/zombieland-survival-game","bafybeigcvppb6ium4xzsuwrklkf35eho247djanpgyyy2yc66gbuunv3kq.ipfs.gateway.valist.io,https://bafybeigcvppb6ium4xzsuwrklkf35eho247djanpgyyy2yc66gbuunv3kq.ipfs.gateway.valist.io/"
"https://trons3.devpost.com/project-gallery","Weld Money","We create an opportunity for fast-growing digital assets to become part of the payment world today. Be an affordable, easy and legal way to pay.","Anatolij Shegrin","https://devpost.com/software/weld-money-t4r927","Google Play Store,https://play.google.com/store/apps/details?id=com.weld.app,weld.money,https://weld.money/"
"https://trons3.devpost.com/project-gallery","MetaVotePoll","As MetaVotePoll, we have created a blockchain-based forum-voting platform for sports fans, anime lovers, bookworms, those who want to discuss politics, defend idols, comment, and other activites.","Gökhan Ceylan","https://devpost.com/software/metavotepoll","metavotepoll.com,https://metavotepoll.com/"
